network,dex,slug,volume24hUsd,volume7dUsd,volume30dUsd,fees30dUsd,change7dPct,feeToVolume30dPct,health,outcomeTarget,sourceUrl,updatedAt
"OP Mainnet","Velodrome V3","velodrome-v3","8214174","59480067","304797424","124407","-13.09","0.04081628983846006","Watch","Rebalance liquidity","https://defillama.com/protocol/velodrome-v3","2026-08-14T08:13:15.074Z"
"OP Mainnet","Uniswap V3","uniswap-v3","1718945","12105172","79416844","185585","-35.48","0.2336846828111175","Watch","Monitor incentives","https://defillama.com/protocol/uniswap-v3","2026-08-14T08:13:15.074Z"
"OP Mainnet","WOOFi Swap","woofi-swap","1093755","7757455","39242555","2788","-18.56","0.0071045323119251534","Watch","Improve fee efficiency","https://defillama.com/protocol/woofi-swap","2026-08-14T08:13:15.074Z"
"OP Mainnet","Uniswap V4","uniswap-v4","379802","2933118","20152680","21991","-29.3","0.10912196293495456","Watch","Monitor incentives","https://defillama.com/protocol/uniswap-v4","2026-08-14T08:13:15.074Z"
"OP Mainnet","Velodrome V2","velodrome-v2","165690","2037239","9307105","76983.74","-32.14","0.8271502255534885","Watch","Monitor incentives","https://defillama.com/protocol/velodrome-v2","2026-08-14T08:13:15.074Z"
"OP Mainnet","Solidly V3","solidly-v3","106072","1110265","5573160","3.4300000000000006","-40.3","0.00006154497627916659","Watch","Monitor incentives","https://defillama.com/protocol/solidly-v3","2026-08-14T08:13:15.074Z"
"OP Mainnet","Curve DEX","curve-dex","14021","560225","2267718","463.69","-81.69","0.02044742776659179","At risk","Monitor incentives","https://defillama.com/protocol/curve-dex","2026-08-14T08:13:15.074Z"
"OP Mainnet","SushiSwap V3","sushiswap-v3","11622","177325","1262887","275.23","-64.7","0.021793715510572208","At risk","Monitor incentives","https://defillama.com/protocol/sushiswap-v3","2026-08-14T08:13:15.074Z"
"OP Mainnet","Swaap Maker V2","swaap-maker-v2","0","4056","677151",,"-100",,"At risk","Monitor incentives","https://defillama.com/protocol/swaap-maker-v2","2026-08-14T08:13:15.074Z"
"OP Mainnet","Beets DEX","beets-dex","5691","47090","263776","62","-32.21","0.023504791944680335","Watch","Monitor incentives","https://defillama.com/protocol/beets-dex","2026-08-14T08:13:15.074Z"
"Base","Aerodrome Slipstream","aerodrome-slipstream","358712147","2110083048","10346257227","4152152","-4.66","0.040131923157336366","Strong","Rebalance liquidity","https://defillama.com/protocol/aerodrome-slipstream","2026-08-14T08:13:15.074Z"
"Base","Uniswap V3","uniswap-v3","73608058","455772335","2857792520","5867650","-12.98","0.20532106368589698","Watch","Rebalance liquidity","https://defillama.com/protocol/uniswap-v3","2026-08-14T08:13:15.074Z"
"Base","PancakeSwap AMM V3","pancakeswap-amm-v3","110117642","553373648","2605699166","356182","4.49","0.01366934466754939","Strong","Improve fee efficiency","https://defillama.com/protocol/pancakeswap-amm-v3","2026-08-14T08:13:15.074Z"
"Base","Uniswap V4","uniswap-v4","87147432","187612346","1579853190","2506384","88.94","0.1586466398184758","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v4","2026-08-14T08:13:15.074Z"
"Base","Tristero Spot","tristero-spot","0.75","52184100.72","444483918.94000006",,"-100",,"At risk","Monitor incentives","https://defillama.com/protocol/tristero-spot","2026-08-14T08:13:15.074Z"
"Base","Metric V2","metric-v2","8681366","59779358","290429585",,"-28.08",,"Watch","Monitor incentives","https://defillama.com/protocol/metric-v2","2026-08-14T08:13:15.074Z"
