network,dex,slug,volume24hUsd,volume7dUsd,volume30dUsd,fees30dUsd,change7dPct,feeToVolume30dPct,health,outcomeTarget,sourceUrl,updatedAt
"OP Mainnet","Velodrome V3","velodrome-v3","31015327","110952131","340431176","136366","263.78","0.04005684837748233","Strong","Rebalance liquidity","https://defillama.com/protocol/velodrome-v3","2026-08-22T07:29:02.024Z"
"OP Mainnet","Uniswap V3","uniswap-v3","12631012","31168886","87768006","188287","926.55","0.2145280593477309","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v3","2026-08-22T07:29:02.024Z"
"OP Mainnet","WOOFi Swap","woofi-swap","0","4610463","32597702","2669",,"0.008187693721477669","At risk","Improve fee efficiency","https://defillama.com/protocol/woofi-swap","2026-08-22T07:29:02.024Z"
"OP Mainnet","Uniswap V4","uniswap-v4","2802120","8601800","22847576","23221.89","712.12","0.10163830946442634","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v4","2026-08-22T07:29:02.024Z"
"OP Mainnet","Velodrome V2","velodrome-v2","749382","2913919","10602454","73695.73999999999","444.3","0.6950819121686356","Strong","Rebalance liquidity","https://defillama.com/protocol/velodrome-v2","2026-08-22T07:29:02.024Z"
"OP Mainnet","Solidly V3","solidly-v3","339407","1587377","5551766","5.330000000000001","206.36","0.00009600548726297183","Strong","Improve fee efficiency","https://defillama.com/protocol/solidly-v3","2026-08-22T07:29:02.024Z"
"OP Mainnet","Curve DEX","curve-dex","125954","1167214","3062833","671.75","76.1","0.021932309074637762","Strong","Rebalance liquidity","https://defillama.com/protocol/curve-dex","2026-08-22T07:29:02.024Z"
"OP Mainnet","SushiSwap V3","sushiswap-v3","215202","630218","1515797","287.43000000000006","1632.71","0.01896230168023819","Strong","Improve fee efficiency","https://defillama.com/protocol/sushiswap-v3","2026-08-22T07:29:02.024Z"
"OP Mainnet","Balancer V2","balancer-v2","5409","93239","281916","72.86000000000001","43.93","0.025844577817505928","Watch","Rebalance liquidity","https://defillama.com/protocol/balancer-v2","2026-08-22T07:29:02.024Z"
"OP Mainnet","Beets DEX","beets-dex","7864","105229","244489","73.71","110.21","0.030148595642339734","Watch","Grow TVL","https://defillama.com/protocol/beets-dex","2026-08-22T07:29:02.024Z"
"Base","Aerodrome Slipstream","aerodrome-slipstream","777064858","3177938341","11111167264","4555671","135.26","0.04100083179163633","Strong","Rebalance liquidity","https://defillama.com/protocol/aerodrome-slipstream","2026-08-22T07:29:02.024Z"
"Base","PancakeSwap AMM V3","pancakeswap-amm-v3","327203174","1020287069","3079617034","402295","341.98","0.013063150241037404","Strong","Improve fee efficiency","https://defillama.com/protocol/pancakeswap-amm-v3","2026-08-22T07:29:02.024Z"
"Base","Uniswap V3","uniswap-v3","389521488","982801522","3043014362","5707570","670.29","0.18756303194864776","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v3","2026-08-22T07:29:02.024Z"
"Base","Uniswap V4","uniswap-v4","80201354","240885053","1024676227","2820962","379.67","0.2753027664415601","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v4","2026-08-22T07:29:02.024Z"
"Base","Metric V2","metric-v2","22222816","109357023","358798044",,"115.38",,"Strong","Rebalance liquidity","https://defillama.com/protocol/metric-v2","2026-08-22T07:29:02.024Z"
"Base","Tessera V","tessera-v","42103752","141491266","316974793",,"441.55",,"Strong","Rebalance liquidity","https://defillama.com/protocol/tessera-v","2026-08-22T07:29:02.024Z"
"Base","Hanji Protocol","hanji-protocol","32052447","74456813","174941177","17363","924.77","0.009925050407086264","Strong","Improve fee efficiency","https://defillama.com/protocol/hanji-protocol","2026-08-22T07:29:02.024Z"
"Unichain","Uniswap V3","uniswap-v3","19240833","42984822","120218540","344139","871.15","0.2862611706979639","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v3","2026-08-22T07:29:02.024Z"
"Unichain","Uniswap V4","uniswap-v4","16774853","50754133","106515517","73243","1449.33","0.06876275125247715","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v4","2026-08-22T07:29:02.024Z"
