network,dex,slug,volume24hUsd,volume7dUsd,volume30dUsd,fees30dUsd,change7dPct,feeToVolume30dPct,health,outcomeTarget,sourceUrl,updatedAt
"OP Mainnet","Velodrome V3","velodrome-v3","13379138","99343654","459005287","197871","13.72","0.043108653778970524","Strong","Rebalance liquidity","https://defillama.com/protocol/velodrome-v3","2026-09-14T13:37:11.462Z"
"OP Mainnet","Uniswap V3","uniswap-v3","2822010","22019101","122988564","290327","90.5","0.23606015921935636","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v3","2026-09-14T13:37:11.462Z"
"OP Mainnet","WOOFi Swap","woofi-swap","1355436","11284579","44633758","2473","-33.33","0.005540649299572759","Watch","Monitor incentives","https://defillama.com/protocol/woofi-swap","2026-09-14T13:37:11.462Z"
"OP Mainnet","Uniswap V4","uniswap-v4","610323","5426634","32216449","50953.89","-39.97","0.15816109962957123","Watch","Monitor incentives","https://defillama.com/protocol/uniswap-v4","2026-09-14T13:37:11.462Z"
"OP Mainnet","Velodrome V2","velodrome-v2","165062","2251289","12065360","90365","-53.78","0.7489623185715139","At risk","Monitor incentives","https://defillama.com/protocol/velodrome-v2","2026-09-14T13:37:11.462Z"
"OP Mainnet","Solidly V3","solidly-v3","177025","1487045","6721476","6.8999999999999995","74.59","0.00010265602376620848","Strong","Improve fee efficiency","https://defillama.com/protocol/solidly-v3","2026-09-14T13:37:11.462Z"
"OP Mainnet","Curve DEX","curve-dex","0","976903","5655266","1383.06",,"0.024456144061128157","At risk","Rebalance liquidity","https://defillama.com/protocol/curve-dex","2026-09-14T13:37:11.462Z"
"OP Mainnet","SushiSwap V3","sushiswap-v3","47308","339066","2266977","489.7900000000001","98.54","0.021605424316170834","Watch","Rebalance liquidity","https://defillama.com/protocol/sushiswap-v3","2026-09-14T13:37:11.462Z"
"OP Mainnet","DODO AMM","dodo-amm","15060","523938.02","734218.0800000001","172",,"0.023426282283868574","Watch","Rebalance liquidity","https://defillama.com/protocol/dodo-amm","2026-09-14T13:37:11.462Z"
"OP Mainnet","Velodrome V1","velodrome-v1","7221","74397","414115","193.35000000000002","-46.64","0.04668992912596743","Watch","Monitor incentives","https://defillama.com/protocol/velodrome-v1","2026-09-14T13:37:11.462Z"
"Base","Aerodrome Slipstream","aerodrome-slipstream","334380915","2878472739","13416792499","15066665","-10.08","0.1122970710109959","Watch","Rebalance liquidity","https://defillama.com/protocol/aerodrome-slipstream","2026-09-14T13:37:11.462Z"
