network,dex,slug,volume24hUsd,volume7dUsd,volume30dUsd,fees30dUsd,change7dPct,feeToVolume30dPct,health,outcomeTarget,sourceUrl,updatedAt
"OP Mainnet","Velodrome V3","velodrome-v3","13576107","97654412","439649922","189116","-12.6","0.043015133299625606","Watch","Rebalance liquidity","https://defillama.com/protocol/velodrome-v3","2026-09-10T12:02:24.822Z"
"OP Mainnet","Uniswap V3","uniswap-v3","3334177","19271620","115218562","269876","0.76","0.2342296200502832","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v3","2026-09-10T12:02:24.822Z"
"OP Mainnet","WOOFi Swap","woofi-swap","1567318","11222517","42236406","2784","-14.93","0.006591469927625945","Watch","Improve fee efficiency","https://defillama.com/protocol/woofi-swap","2026-09-10T12:02:24.822Z"
"OP Mainnet","Uniswap V4","uniswap-v4","648307","5761768","30895774","47676.89","-35.99","0.15431524712732558","Watch","Monitor incentives","https://defillama.com/protocol/uniswap-v4","2026-09-10T12:02:24.822Z"
"OP Mainnet","Velodrome V2","velodrome-v2","248086","2643673","11783194","93208","-67.09","0.7910249122606315","At risk","Monitor incentives","https://defillama.com/protocol/velodrome-v2","2026-09-10T12:02:24.822Z"
"OP Mainnet","Solidly V3","solidly-v3","210034","1366233","6371855","6.559999999999999","0.85","0.00010295275080804569","Strong","Improve fee efficiency","https://defillama.com/protocol/solidly-v3","2026-09-10T12:02:24.822Z"
"OP Mainnet","Curve DEX","curve-dex","59285","1318440","5537674","1391.06","-73.62","0.025119933026032232","At risk","Monitor incentives","https://defillama.com/protocol/curve-dex","2026-09-10T12:02:24.822Z"
"OP Mainnet","SushiSwap V3","sushiswap-v3","42735","472991","2091997","443.61","-55.69","0.021205097330445503","At risk","Monitor incentives","https://defillama.com/protocol/sushiswap-v3","2026-09-10T12:02:24.822Z"
"OP Mainnet","DODO AMM","dodo-amm","152717","714081","714194.6","65","46277778.79","0.009101160944090027","Watch","Improve fee efficiency","https://defillama.com/protocol/dodo-amm","2026-09-10T12:02:24.822Z"
"OP Mainnet","Velodrome V1","velodrome-v1","9806","93555","395181","184.15","-65.59","0.046598900250771166","At risk","Monitor incentives","https://defillama.com/protocol/velodrome-v1","2026-09-10T12:02:24.822Z"
"Base","Aerodrome Slipstream","aerodrome-slipstream","544575187","3126071048","13427129300","7180790","29.86","0.05347971140785842","Strong","Rebalance liquidity","https://defillama.com/protocol/aerodrome-slipstream","2026-09-10T12:02:24.822Z"
"Base","Uniswap V3","uniswap-v3","169009886","942487196","4308616842","9343356","60.64","0.2168527938925046","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v3","2026-09-10T12:02:24.822Z"
