network,dex,slug,volume24hUsd,volume7dUsd,volume30dUsd,fees30dUsd,change7dPct,feeToVolume30dPct,health,outcomeTarget,sourceUrl,updatedAt
"OP Mainnet","Velodrome V3","velodrome-v3","16098194","110509307","379756214","161911","-3.92","0.04263551036981846","Strong","Rebalance liquidity","https://defillama.com/protocol/velodrome-v3","2026-08-31T14:49:24.294Z"
"OP Mainnet","Uniswap V3","uniswap-v3","5530144","30053158","105988561","240818","-29.28","0.22721131198299785","Watch","Monitor incentives","https://defillama.com/protocol/uniswap-v3","2026-08-31T14:49:24.294Z"
"OP Mainnet","WOOFi Swap","woofi-swap","1029459","10904370","38016449","3285","-28.76","0.008640996427625315","Watch","Monitor incentives","https://defillama.com/protocol/woofi-swap","2026-08-31T14:49:24.294Z"
"OP Mainnet","Uniswap V4","uniswap-v4","1110113","7703739","26399119","32803.89","-38.46","0.12426130584130476","Watch","Monitor incentives","https://defillama.com/protocol/uniswap-v4","2026-08-31T14:49:24.294Z"
"OP Mainnet","Velodrome V2","velodrome-v2","0","2044219","9525369","75277",,"0.7902790957494665","At risk","Rebalance liquidity","https://defillama.com/protocol/velodrome-v2","2026-08-31T14:49:24.294Z"
"OP Mainnet","Solidly V3","solidly-v3","304131","1666675","5870772","6.039999999999998","56.69","0.00010288255105120755","Strong","Improve fee efficiency","https://defillama.com/protocol/solidly-v3","2026-08-31T14:49:24.294Z"
"OP Mainnet","Curve DEX","curve-dex","116635","1553499","4341547","1029.41","-40.87","0.023710672716430344","Watch","Monitor incentives","https://defillama.com/protocol/curve-dex","2026-08-31T14:49:24.294Z"
"OP Mainnet","SushiSwap V3","sushiswap-v3","143402","536778","1750620","357.42","61.55","0.020416766631250645","Strong","Rebalance liquidity","https://defillama.com/protocol/sushiswap-v3","2026-08-31T14:49:24.294Z"
"OP Mainnet","Velodrome V1","velodrome-v1","13454","84513","291474","133.03","-22.66","0.045640434481291646","Watch","Monitor incentives","https://defillama.com/protocol/velodrome-v1","2026-08-31T14:49:24.294Z"
"OP Mainnet","Beets DEX","beets-dex","9244","52999","277908","86.05","-65.07","0.030963484318551462","At risk","Monitor incentives","https://defillama.com/protocol/beets-dex","2026-08-31T14:49:24.294Z"
"Base","Aerodrome Slipstream","aerodrome-slipstream","450907399","3311094211","12243656758","5524674","-14.67","0.045122744856353314","Watch","Rebalance liquidity","https://defillama.com/protocol/aerodrome-slipstream","2026-08-31T14:49:24.294Z"
"Base","Uniswap V3","uniswap-v3","201394479","1222374590","3693068233","7337040","-19.66","0.19867057787989698","Watch","Rebalance liquidity","https://defillama.com/protocol/uniswap-v3","2026-08-31T14:49:24.294Z"
"Base","PancakeSwap AMM V3","pancakeswap-amm-v3","98983037","919056323","3533609202","449885","-52.33","0.012731600306716656","At risk","Monitor incentives","https://defillama.com/protocol/pancakeswap-amm-v3","2026-08-31T14:49:24.294Z"
"Base","Uniswap V4","uniswap-v4","50236962","408480598","1133515770","4851117","-33.53","0.4279708433169836","Watch","Monitor incentives","https://defillama.com/protocol/uniswap-v4","2026-08-31T14:49:24.294Z"
"Base","Metric V2","metric-v2","77734261","306271371","630417162",,"325.06",,"Strong","Rebalance liquidity","https://defillama.com/protocol/metric-v2","2026-08-31T14:49:24.294Z"
"Base","Tessera V","tessera-v","24115391","205875553","498753404",,"-28.36",,"Watch","Monitor incentives","https://defillama.com/protocol/tessera-v","2026-08-31T14:49:24.294Z"
"Base","Hanji Protocol","hanji-protocol","19411108","102766055","259530548","25784","2.3","0.009934861309659778","Strong","Improve fee efficiency","https://defillama.com/protocol/hanji-protocol","2026-08-31T14:49:24.294Z"
"Unichain","Uniswap V3","uniswap-v3","4863799","56200607","164753549","490030","-50.75","0.29743213604460805","At risk","Monitor incentives","https://defillama.com/protocol/uniswap-v3","2026-08-31T14:49:24.294Z"
"Unichain","Uniswap V4","uniswap-v4","4746399","38890401","134364774","97944","-39.39","0.07289410541486119","Watch","Monitor incentives","https://defillama.com/protocol/uniswap-v4","2026-08-31T14:49:24.294Z"
"Unichain","Velodrome V3","velodrome-v3","302586","2273453","7102295","1295.6599999999999","15.78","0.018242835590467587","Strong","Improve fee efficiency","https://defillama.com/protocol/velodrome-v3","2026-08-31T14:49:24.294Z"
"Unichain","EulerSwap","eulerswap","29","957.62","17619.62","0.26","-19.44","0.0014756277377151153","At risk","Grow TVL","https://defillama.com/protocol/eulerswap","2026-08-31T14:49:24.294Z"
"Unichain","1inch Aqua","1inch-aqua","0","0.8","9.86","0.06","-100","0.6085192697768762","At risk","Grow TVL","https://defillama.com/protocol/1inch-aqua","2026-08-31T14:49:24.294Z"
"Unichain","Curve DEX","curve-dex","0","3.54","5.960000000000001","0.41000000000000003",,"6.879194630872483","At risk","Grow TVL","https://defillama.com/protocol/curve-dex","2026-08-31T14:49:24.294Z"
"Mode","MantisSwap","mantisswap","0","70438.8","72052.8",,"-100",,"At risk","Grow TVL","https://defillama.com/protocol/mantisswap","2026-08-31T14:49:24.294Z"
"Mode","KIM Exchange V3","kim-exchange-v3","3691","11390","50760.56","80.38000000000001","137.98","0.15835128690463623","Watch","Grow TVL","https://defillama.com/protocol/kim-exchange-v3","2026-08-31T14:49:24.294Z"
"Mode","KIM Exchange V2","kim-exchange-v2","1969","5444.360000000001","22071.28","62.69","37.6","0.28403427440547174","At risk","Grow TVL","https://defillama.com/protocol/kim-exchange-v2","2026-08-31T14:49:24.294Z"
"Mode","SupSwap V3","supswap-v3","2626","6798","18664.059999999998","10.32","10.61","0.05529343561904538","At risk","Grow TVL","https://defillama.com/protocol/supswap-v3","2026-08-31T14:49:24.294Z"
"Mode","Velodrome V3","velodrome-v3","66.18","88.63000000000001","11894.06","7.519999999999999","812.83","0.06322483659910913","At risk","Grow TVL","https://defillama.com/protocol/velodrome-v3","2026-08-31T14:49:24.294Z"
"Mode","Velodrome V2","velodrome-v2","0","1594","10737.29","29.41",,"0.2739052405215841","At risk","Grow TVL","https://defillama.com/protocol/velodrome-v2","2026-08-31T14:49:24.294Z"
"Mode","SwapMode V2","swapmode-v2","1240","2789.3","8779.400000000001","20.410000000000007","217.95","0.23247602341845688","At risk","Grow TVL","https://defillama.com/protocol/swapmode-v2","2026-08-31T14:49:24.294Z"
"Zora","Uniswap V2","uniswap-v2","30.32","110.54999999999998","976.0699999999999","1.6900000000000002","1173.95","0.17314331963896035","At risk","Grow TVL","https://defillama.com/protocol/uniswap-v2","2026-08-31T14:49:24.294Z"
"Zora","Uniswap V4","uniswap-v4","2.28","6.18","63.109999999999985","0.08","5600","0.12676279511963243","At risk","Grow TVL","https://defillama.com/protocol/uniswap-v4","2026-08-31T14:49:24.294Z"
