network,dex,slug,volume24hUsd,volume7dUsd,volume30dUsd,fees30dUsd,change7dPct,feeToVolume30dPct,health,outcomeTarget,sourceUrl,updatedAt
"OP Mainnet","Velodrome V3","velodrome-v3","18804262","102210157","412713453","174863","7.48","0.04236910590845218","Strong","Rebalance liquidity","https://defillama.com/protocol/velodrome-v3","2026-09-04T12:02:13.466Z"
"OP Mainnet","Uniswap V3","uniswap-v3","4496531","25996535","113083229","262530","6.81","0.23215644116423312","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v3","2026-09-04T12:02:13.466Z"
"OP Mainnet","WOOFi Swap","woofi-swap","1901637","10602211","40033053","3133","-0.34","0.00782603315315472","Strong","Improve fee efficiency","https://defillama.com/protocol/woofi-swap","2026-09-04T12:02:13.466Z"
"OP Mainnet","Uniswap V4","uniswap-v4","827583","6461076","28773159","40415.89","-36.24","0.14046386078080617","Watch","Monitor incentives","https://defillama.com/protocol/uniswap-v4","2026-09-04T12:02:13.466Z"
"OP Mainnet","Velodrome V2","velodrome-v2","453560","3141433","11460183","85676","23.92","0.7475971369741653","Strong","Rebalance liquidity","https://defillama.com/protocol/velodrome-v2","2026-09-04T12:02:13.466Z"
"OP Mainnet","Solidly V3","solidly-v3","360084","1659490","6337651","6.51","33.06","0.00010271944605343525","Strong","Improve fee efficiency","https://defillama.com/protocol/solidly-v3","2026-09-04T12:02:13.466Z"
"OP Mainnet","Curve DEX","curve-dex","63375","1308528","4979159","1242.06","-67.39","0.024945176484623206","At risk","Monitor incentives","https://defillama.com/protocol/curve-dex","2026-09-04T12:02:13.466Z"
"OP Mainnet","SushiSwap V3","sushiswap-v3","147181","583320","1961897","410.47","37.26","0.020922097337423933","Strong","Rebalance liquidity","https://defillama.com/protocol/sushiswap-v3","2026-09-04T12:02:13.466Z"
"OP Mainnet","Velodrome V1","velodrome-v1","13757","105175","348787","161.19","12.06","0.046214451800095764","Watch","Rebalance liquidity","https://defillama.com/protocol/velodrome-v1","2026-09-04T12:02:13.466Z"
"OP Mainnet","Beets DEX","beets-dex","10984","82812","332504","87.12000000000002","248.92","0.026201188557130144","Watch","Rebalance liquidity","https://defillama.com/protocol/beets-dex","2026-09-04T12:02:13.466Z"
"Base","Aerodrome Slipstream","aerodrome-slipstream","455977827","2869305391","12557575996","5933227","-6.56","0.04724818708554841","Strong","Rebalance liquidity","https://defillama.com/protocol/aerodrome-slipstream","2026-09-04T12:02:13.466Z"
"Base","Uniswap V3","uniswap-v3","169003688","955665180","3947761968","8024190","-4.88","0.20325921534892297","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v3","2026-09-04T12:02:13.466Z"
"Base","PancakeSwap AMM V3","pancakeswap-amm-v3","104677746","707165952","3611937597","453982","-22.65","0.012568932541278343","Watch","Monitor incentives","https://defillama.com/protocol/pancakeswap-amm-v3","2026-09-04T12:02:13.466Z"
"Base","Uniswap V4","uniswap-v4","58313686","350307433","1255191685","5338300","20.77","0.42529759110059756","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v4","2026-09-04T12:02:13.466Z"
"Base","Metric V2","metric-v2","51147326","381132311","767403675",,"-21.28",,"Watch","Monitor incentives","https://defillama.com/protocol/metric-v2","2026-09-04T12:02:13.466Z"
"Base","Tessera V","tessera-v","37203045","203617264","600421521",,"13.29",,"Strong","Rebalance liquidity","https://defillama.com/protocol/tessera-v","2026-09-04T12:02:13.466Z"
"Base","Hanji Protocol","hanji-protocol","18015983","105301818","309567105","30762","17.43","0.009937102328750336","Strong","Improve fee efficiency","https://defillama.com/protocol/hanji-protocol","2026-09-04T12:02:13.466Z"
"Unichain","Uniswap V3","uniswap-v3","6374630","37086791","173561221","518273","-30.03","0.2986110589761293","Watch","Monitor incentives","https://defillama.com/protocol/uniswap-v3","2026-09-04T12:02:13.466Z"
"Unichain","Uniswap V4","uniswap-v4","4983968","26526041","140955106","103767","-22.27","0.07361705648321815","Watch","Monitor incentives","https://defillama.com/protocol/uniswap-v4","2026-09-04T12:02:13.466Z"
"Unichain","Velodrome V3","velodrome-v3","297446","1712018","7347931","1364.78","1.68","0.018573663797332884","Strong","Improve fee efficiency","https://defillama.com/protocol/velodrome-v3","2026-09-04T12:02:13.466Z"
"Unichain","EulerSwap","eulerswap","2092","5597.62","21987.62","0.32000000000000006","553.75","0.0014553644278007354","At risk","Grow TVL","https://defillama.com/protocol/eulerswap","2026-09-04T12:02:13.466Z"
"Unichain","1inch Aqua","1inch-aqua","0","0","7.529999999999999","0.04",,"0.5312084993359895","At risk","Grow TVL","https://defillama.com/protocol/1inch-aqua","2026-09-04T12:02:13.466Z"
"Unichain","Curve DEX","curve-dex","0.53","0.39","6.240000000000001","0.41000000000000003","-84.55","6.570512820512819","At risk","Grow TVL","https://defillama.com/protocol/curve-dex","2026-09-04T12:02:13.466Z"
"Mode","MantisSwap","mantisswap","0","70316","72066.8",,"-100",,"At risk","Grow TVL","https://defillama.com/protocol/mantisswap","2026-09-04T12:02:13.466Z"
"Mode","KIM Exchange V3","kim-exchange-v3","48814","22244","52955","98.62","7375.34","0.18623359456142008","Watch","Grow TVL","https://defillama.com/protocol/kim-exchange-v3","2026-09-04T12:02:13.466Z"
"Mode","KIM Exchange V2","kim-exchange-v2","350","10063.83","25501.810000000005","72.92999999999999","62.79","0.2859797010486706","At risk","Grow TVL","https://defillama.com/protocol/kim-exchange-v2","2026-09-04T12:02:13.466Z"
"Mode","SupSwap V3","supswap-v3","369","12049","23307.86","12.47","23.83","0.05350126523842171","At risk","Grow TVL","https://defillama.com/protocol/supswap-v3","2026-09-04T12:02:13.466Z"
"Mode","Velodrome V2","velodrome-v2","973","3448","13341.130000000001","37.15","404.15","0.27846216924653305","At risk","Grow TVL","https://defillama.com/protocol/velodrome-v2","2026-09-04T12:02:13.466Z"
"Mode","SwapMode V2","swapmode-v2","244","6334.429999999999","12183.12","30.63","106.78","0.2514134310422945","At risk","Grow TVL","https://defillama.com/protocol/swapmode-v2","2026-09-04T12:02:13.466Z"
"Mode","Velodrome V3","velodrome-v3","0.83","189.27","11955.119999999999","7.509999999999998","-91.08","0.06281827367688488","At risk","Grow TVL","https://defillama.com/protocol/velodrome-v3","2026-09-04T12:02:13.466Z"
"Zora","Uniswap V2","uniswap-v2","0","59.510000000000005","913.92","1.5100000000000002","-100","0.16522233893557428","At risk","Grow TVL","https://defillama.com/protocol/uniswap-v2","2026-09-04T12:02:13.466Z"
"Zora","Uniswap V4","uniswap-v4","0","4.640000000000001","59.809999999999995","0.08","-100","0.13375689683999334","At risk","Grow TVL","https://defillama.com/protocol/uniswap-v4","2026-09-04T12:02:13.466Z"
