network,dex,slug,volume24hUsd,volume7dUsd,volume30dUsd,fees30dUsd,change7dPct,feeToVolume30dPct,health,outcomeTarget,sourceUrl,updatedAt
"OP Mainnet","Velodrome V3","velodrome-v3","16035112","96740915","436426346","191855","3.19","0.04396045329490718","Strong","Rebalance liquidity","https://defillama.com/protocol/velodrome-v3","2026-09-09T12:08:18.378Z"
"OP Mainnet","Uniswap V3","uniswap-v3","2818437","19204215","114365915","267183","-37.56","0.23362117987688905","Watch","Monitor incentives","https://defillama.com/protocol/uniswap-v3","2026-09-09T12:08:18.378Z"
"OP Mainnet","WOOFi Swap","woofi-swap","1344735","11497588","41947635","2821","-12.18","0.006725051364635933","Watch","Improve fee efficiency","https://defillama.com/protocol/woofi-swap","2026-09-09T12:08:18.378Z"
"OP Mainnet","Uniswap V4","uniswap-v4","714536","6073955","30831686","47025.89","-46.18","0.15252454893319814","Watch","Monitor incentives","https://defillama.com/protocol/uniswap-v4","2026-09-09T12:08:18.378Z"
"OP Mainnet","Velodrome V2","velodrome-v2","228920","3159060","12437002","92533","-34.69","0.7440137100564911","Watch","Monitor incentives","https://defillama.com/protocol/velodrome-v2","2026-09-09T12:08:18.378Z"
"OP Mainnet","Solidly V3","solidly-v3","200673","1350062","6424139","6.619999999999998","-6.21","0.00010304882880024854","Strong","Improve fee efficiency","https://defillama.com/protocol/solidly-v3","2026-09-09T12:08:18.378Z"
"OP Mainnet","Curve DEX","curve-dex","67333","1368835","5488634","1383.06","-71.1","0.025198619547231606","At risk","Monitor incentives","https://defillama.com/protocol/curve-dex","2026-09-09T12:08:18.378Z"
"OP Mainnet","SushiSwap V3","sushiswap-v3","24887","496660","2073844","440.56000000000006","-51.97","0.02124364224117147","At risk","Monitor incentives","https://defillama.com/protocol/sushiswap-v3","2026-09-09T12:08:18.378Z"
"OP Mainnet","DODO AMM","dodo-amm","351190","561364.33","561480.58","22","1596218.18","0.003918212095599104","Watch","Improve fee efficiency","https://defillama.com/protocol/dodo-amm","2026-09-09T12:08:18.378Z"
"OP Mainnet","Velodrome V1","velodrome-v1","10902","110723","392275","182.54999999999998","-41.35","0.04653623096042317","Watch","Monitor incentives","https://defillama.com/protocol/velodrome-v1","2026-09-09T12:08:18.378Z"
"Base","Aerodrome Slipstream","aerodrome-slipstream","466216752","2975321114","13186093498","6585762","13.15","0.0499447543049721","Strong","Rebalance liquidity","https://defillama.com/protocol/aerodrome-slipstream","2026-09-09T12:08:18.378Z"
"Base","Uniswap V3","uniswap-v3","116762993","878566299","4222393038","9055594","-15.69","0.21446591822464064","Watch","Rebalance liquidity","https://defillama.com/protocol/uniswap-v3","2026-09-09T12:08:18.378Z"
"Base","PancakeSwap AMM V3","pancakeswap-amm-v3","102170118","638255577","3643043925","458313","3.54","0.012580496130032249","Strong","Improve fee efficiency","https://defillama.com/protocol/pancakeswap-amm-v3","2026-09-09T12:08:18.378Z"
"Base","Uniswap V4","uniswap-v4","104934532","408302248","1454243425","6487843","104.07","0.4461318434360465","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v4","2026-09-09T12:08:18.378Z"
"Base","Metric V2","metric-v2","97644817","415574672","1044036604",,"93.82",,"Strong","Rebalance liquidity","https://defillama.com/protocol/metric-v2","2026-09-09T12:08:18.378Z"
"Base","Tessera V","tessera-v","37646942","207811315","718002864",,"23.31",,"Strong","Rebalance liquidity","https://defillama.com/protocol/tessera-v","2026-09-09T12:08:18.378Z"
"Base","Hanji Protocol","hanji-protocol","18185651","103576035","371263093","36815","5.92","0.00991614860031347","Strong","Improve fee efficiency","https://defillama.com/protocol/hanji-protocol","2026-09-09T12:08:18.378Z"
"Unichain","Uniswap V3","uniswap-v3","4123348","32959165","181663780","543919","-16.57","0.2994097117212908","Watch","Rebalance liquidity","https://defillama.com/protocol/uniswap-v3","2026-09-09T12:08:18.378Z"
"Unichain","Uniswap V4","uniswap-v4","3407079","25762147","149346232","109305","-5.6","0.07318899080091958","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v4","2026-09-09T12:08:18.378Z"
"Unichain","Velodrome V3","velodrome-v3","244704","1547831","7635419","1428.6499999999999","19.59","0.018710826478546886","Strong","Improve fee efficiency","https://defillama.com/protocol/velodrome-v3","2026-09-09T12:08:18.378Z"
"Unichain","EulerSwap","eulerswap","18","4284","21333.620000000003","0.31000000000000005","-99.06","0.0014531054738951947","At risk","Grow TVL","https://defillama.com/protocol/eulerswap","2026-09-09T12:08:18.378Z"
"Unichain","Curve DEX","curve-dex","0.01","0.66","5.250000000000001","0.13",,"2.476190476190476","At risk","Grow TVL","https://defillama.com/protocol/curve-dex","2026-09-09T12:08:18.378Z"
"Unichain","1inch Aqua","1inch-aqua","0","0","3.7","0.03",,"0.8108108108108106","At risk","Grow TVL","https://defillama.com/protocol/1inch-aqua","2026-09-09T12:08:18.378Z"
"Mode","KIM Exchange V3","kim-exchange-v3","4684","62467","109131","113.58000000000003","1876.37","0.10407675179371584","Watch","Grow TVL","https://defillama.com/protocol/kim-exchange-v3","2026-09-09T12:08:18.378Z"
"Mode","MantisSwap","mantisswap","0","0","72066.8",,,,"At risk","Grow TVL","https://defillama.com/protocol/mantisswap","2026-09-09T12:08:18.378Z"
"Mode","KIM Exchange V2","kim-exchange-v2","901","4388","26856.4","76.88999999999999","5613.38","0.28630047214071874","At risk","Grow TVL","https://defillama.com/protocol/kim-exchange-v2","2026-09-09T12:08:18.378Z"
"Mode","SupSwap V3","supswap-v3","1122","5505","25578.78","12.989999999999998","638.16","0.05078428290950546","At risk","Grow TVL","https://defillama.com/protocol/supswap-v3","2026-09-09T12:08:18.378Z"
"Mode","SwapMode V2","swapmode-v2","896","2979.42","13908.5","35.69","1921.2","0.25660567279002044","At risk","Grow TVL","https://defillama.com/protocol/swapmode-v2","2026-09-09T12:08:18.378Z"
"Mode","Velodrome V2","velodrome-v2","144","2436.35","13894.06","36.53999999999999","-57.89","0.26299008353209924","At risk","Grow TVL","https://defillama.com/protocol/velodrome-v2","2026-09-09T12:08:18.378Z"
"Mode","Velodrome V3","velodrome-v3","92.43","129.17000000000002","11634.25","7.2799999999999985","8379.82","0.06257386595612092","At risk","Grow TVL","https://defillama.com/protocol/velodrome-v3","2026-09-09T12:08:18.378Z"
"Zora","Uniswap V2","uniswap-v2","0","41.14","887.7300000000001","1.4300000000000004","-100","0.16108501458776883","At risk","Grow TVL","https://defillama.com/protocol/uniswap-v2","2026-09-09T12:08:18.378Z"
"Zora","Uniswap V4","uniswap-v4","0.13","2.84","56.67999999999999","0.09","-83.54","0.1587861679604799","At risk","Grow TVL","https://defillama.com/protocol/uniswap-v4","2026-09-09T12:08:18.378Z"
