network,dex,slug,volume24hUsd,volume7dUsd,volume30dUsd,fees30dUsd,change7dPct,feeToVolume30dPct,health,outcomeTarget,sourceUrl,updatedAt
"OP Mainnet","Velodrome V3","velodrome-v3","29013034","140429068","488808009","219494","76.82","0.044903928732477054","Strong","Rebalance liquidity","https://defillama.com/protocol/velodrome-v3","2026-09-25T12:32:50.796Z"
"OP Mainnet","Uniswap V3","uniswap-v3","24396871","52638819","146491631","372748","477.29","0.25445003066420907","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v3","2026-09-25T12:32:50.796Z"
"OP Mainnet","WOOFi Swap","woofi-swap","2348888","11931218","50062667","637","44.76","0.0012724052436119714","Strong","Improve fee efficiency","https://defillama.com/protocol/woofi-swap","2026-09-25T12:32:50.796Z"
"OP Mainnet","Uniswap V4","uniswap-v4","2060610","7633016","29521827","68489","61.53","0.23199444939501881","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v4","2026-09-25T12:32:50.796Z"
"OP Mainnet","Velodrome V2","velodrome-v2","1360078","4570724","14227447","108347","99.3","0.7615350807492025","Strong","Rebalance liquidity","https://defillama.com/protocol/velodrome-v2","2026-09-25T12:32:50.796Z"
"OP Mainnet","Solidly V3","solidly-v3","341816","3536870","9499158","9.479999999999999","-50.5","0.00009979831896679685","At risk","Monitor incentives","https://defillama.com/protocol/solidly-v3","2026-09-25T12:32:50.796Z"
"OP Mainnet","Curve DEX","curve-dex","252386","3216424","8264552","1660","-61.86","0.02008578323422734","At risk","Monitor incentives","https://defillama.com/protocol/curve-dex","2026-09-25T12:32:50.796Z"
"OP Mainnet","SushiSwap V3","sushiswap-v3","474763","665615","2357810","632.35","492.44","0.026819379000004244","Strong","Rebalance liquidity","https://defillama.com/protocol/sushiswap-v3","2026-09-25T12:32:50.796Z"
"OP Mainnet","DODO AMM","dodo-amm","11","78.92000000000002","744410.1699999999","269.30999999999995","13650","0.03617763577840426","At risk","Rebalance liquidity","https://defillama.com/protocol/dodo-amm","2026-09-25T12:32:50.796Z"
"OP Mainnet","Velodrome V1","velodrome-v1","46705","184118","487625","232.43999999999997","356.82","0.047667777492950515","Watch","Rebalance liquidity","https://defillama.com/protocol/velodrome-v1","2026-09-25T12:32:50.796Z"
"Base","Aerodrome Slipstream","aerodrome-slipstream","473367362","3277438549","12803037878","16056862","44.61","0.12541446922992538","Strong","Rebalance liquidity","https://defillama.com/protocol/aerodrome-slipstream","2026-09-25T12:32:50.796Z"
"Base","Uniswap V3","uniswap-v3","175610845","1295136562","4772192684","10787815","12.45","0.22605572981512076","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v3","2026-09-25T12:32:50.796Z"
"Base","PancakeSwap AMM V3","pancakeswap-amm-v3","122978427","886447348","3140511709","419639","64.51","0.013362121809557629","Strong","Improve fee efficiency","https://defillama.com/protocol/pancakeswap-amm-v3","2026-09-25T12:32:50.796Z"
"Base","Uniswap V4","uniswap-v4","44940461","519998080","2578099482","7169172","-44.24","0.2780797269482559","Watch","Monitor incentives","https://defillama.com/protocol/uniswap-v4","2026-09-25T12:32:50.796Z"
"Base","Metric V2","metric-v2","8990032","197041884","1254715032",,"-65.8",,"At risk","Monitor incentives","https://defillama.com/protocol/metric-v2","2026-09-25T12:32:50.796Z"
"Base","Tessera V","tessera-v","29882184","218459539","907792752",,"23.02",,"Strong","Rebalance liquidity","https://defillama.com/protocol/tessera-v","2026-09-25T12:32:50.796Z"
"Base","Hanji Protocol","hanji-protocol","15738263","111841121","418345373","43538","64.06","0.010407190520068211","Strong","Improve fee efficiency","https://defillama.com/protocol/hanji-protocol","2026-09-25T12:32:50.796Z"
