network,dex,slug,volume24hUsd,volume7dUsd,volume30dUsd,fees30dUsd,change7dPct,feeToVolume30dPct,health,outcomeTarget,sourceUrl,updatedAt
"OP Mainnet","Velodrome V3","velodrome-v3","12577709","71606981","294464427","120235","75.78","0.04083175724312533","Strong","Rebalance liquidity","https://defillama.com/protocol/velodrome-v3","2026-07-27T10:40:01.825Z"
"OP Mainnet","Uniswap V3","uniswap-v3","2892312","18381783","102058505","237101","94.3","0.2323187077843243","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v3","2026-07-27T10:40:01.825Z"
"OP Mainnet","WOOFi Swap","woofi-swap","1394388","9832999","38519910","3653","31.01","0.009483407411907244","Strong","Improve fee efficiency","https://defillama.com/protocol/woofi-swap","2026-07-27T10:40:01.825Z"
"OP Mainnet","Uniswap V4","uniswap-v4","902551","5568162","20060347","24607","63.11","0.1226648771329828","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v4","2026-07-27T10:40:01.825Z"
"OP Mainnet","Solidly V3","solidly-v3","180441","1273993","5591180","0.19","10.94","0.0000033982093225401437","Strong","Improve fee efficiency","https://defillama.com/protocol/solidly-v3","2026-07-27T10:40:01.825Z"
"OP Mainnet","Velodrome V2","velodrome-v2","259219","1544727","5241335","90844.74","195.79","1.733236665849445","Strong","Rebalance liquidity","https://defillama.com/protocol/velodrome-v2","2026-07-27T10:40:01.825Z"
"OP Mainnet","Curve DEX","curve-dex","12303","499944","2718630","413.34","-58.2","0.015203981417110825","At risk","Monitor incentives","https://defillama.com/protocol/curve-dex","2026-07-27T10:40:01.825Z"
"OP Mainnet","SushiSwap V3","sushiswap-v3","43143","380486","1416614","333.8","383.45","0.023563228938864082","Watch","Rebalance liquidity","https://defillama.com/protocol/sushiswap-v3","2026-07-27T10:40:01.825Z"
"OP Mainnet","Beets DEX","beets-dex","4961","69361","412400","42.75","-68.94","0.010366149369544133","At risk","Monitor incentives","https://defillama.com/protocol/beets-dex","2026-07-27T10:40:01.825Z"
"OP Mainnet","Velodrome V1","velodrome-v1","5278","37597","401146","162.41","-2.24","0.040486506159852026","Watch","Rebalance liquidity","https://defillama.com/protocol/velodrome-v1","2026-07-27T10:40:01.825Z"
"Base","Aerodrome Slipstream","aerodrome-slipstream","324132354","2307858633","10978693813","5074467","29.38","0.04622104492969158","Strong","Rebalance liquidity","https://defillama.com/protocol/aerodrome-slipstream","2026-07-27T10:40:01.825Z"
"Base","Uniswap V4","uniswap-v4","200744234","979621756","4887700067","3826249","64.36","0.07828322007386383","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v4","2026-07-27T10:40:01.825Z"
"Base","Uniswap V3","uniswap-v3","85262817","611713993","2682035319","6873897","56.28","0.25629405218134643","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v3","2026-07-27T10:40:01.825Z"
"Base","PancakeSwap AMM V3","pancakeswap-amm-v3","66133033","585750787","2344562523","321947","17.16","0.01373164489501652","Strong","Improve fee efficiency","https://defillama.com/protocol/pancakeswap-amm-v3","2026-07-27T10:40:01.825Z"
"Base","Tristero Spot","tristero-spot","0.12","151.11","435777247.11",,"-100",,"At risk","Monitor incentives","https://defillama.com/protocol/tristero-spot","2026-07-27T10:40:01.825Z"
"Base","Aerodrome V1","aerodrome-v1","4870542","37731327","204308684","1041234","31.44","0.5096376618039398","Strong","Rebalance liquidity","https://defillama.com/protocol/aerodrome-v1","2026-07-27T10:40:01.825Z"
"Base","Metric","metric","1271864","36231418","196248487",,"-75.16",,"At risk","Monitor incentives","https://defillama.com/protocol/metric","2026-07-27T10:40:01.825Z"
"Unichain","Uniswap V3","uniswap-v3","1946387","23423328","116982618","360736","26.75","0.3083671798146969","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v3","2026-07-27T10:40:01.825Z"
